醫事機構代碼,診療科別
0512040014,09
0512040014,10
0512040014,11
0512040014,12
0512040014,13
0512040014,14
0512040014,22
0512040014,40
0512040014,81
0512040014,86
0512040014,87
0517050010,01
0517050010,02
0517050010,03
0517050010,04
0517050010,05
0517050010,06
0517050010,13
0517050010,40
0532090029,01
0532090029,02
0532090029,03
0532090029,04
0532090029,05
0532090029,06
0532090029,07
0532090029,08
0532090029,09
0532090029,10
0532090029,11
0532090029,12
0532090029,13
0532090029,14
0532090029,15
0532090029,22
0532090029,40
0532090029,81
0532090029,82
0532090029,83
0536190011,01
0536190011,02
0536190011,03
0536190011,04
0536190011,05
0536190011,06
0536190011,07
0536190011,08
0536190011,09
0536190011,10
0536190011,11
0536190011,12
0536190011,13
0536190011,14
0536190011,22
0536190011,40
0536190011,81
0536190011,82
0536190011,83
0536190011,84
0542020011,01
0542020011,02
0542020011,03
0542020011,04
0542020011,05
0542020011,06
0542020011,08
0542020011,12
0542020011,13
0542020011,14
0542020011,40
0542020011,81
0542020011,82
0543010019,02
0543010019,03
0543010019,04
0543010019,05
0543010019,06
0543010019,13
0543010019,40
0543010019,82
0544010031,01
0544010031,02
0544010031,03
0544010031,04
0544010031,05
0544010031,06
0544010031,08
0544010031,09
0544010031,10
0544010031,12
0544010031,13
0544010031,15
0544010031,16
0544010031,81
0544010031,86
0545040515,01
0545040515,02
0545040515,03
0545040515,04
0545040515,05
0545040515,06
0545040515,07
0545040515,08
0545040515,09
0545040515,10
0545040515,13
0545040515,14
0545040515,15
0545040515,22
0545040515,40
0545040515,81
0545040515,82
0545040515,87
0546010011,02
0546010011,03
0546010011,04
0546010011,05
0546010011,06
0546010011,09
0546010011,10
0546010011,14
0546010011,40
0601160016,00
0601160016,01
0601160016,02
0601160016,03
0601160016,04
0601160016,05
0601160016,06
0601160016,07
0601160016,08
0601160016,09
0601160016,10
0601160016,11
0601160016,12
0601160016,13
0601160016,14
0601160016,15
0601160016,16
0601160016,22
0601160016,40
0601160016,45
0601160016,47
0601160016,60
0601160016,81
0601160016,84
0601160016,85
0601160016,86
0601160016,87
0601160016,88
0602030026,01
0602030026,02
0602030026,03
0602030026,04
0602030026,05
0602030026,06
0602030026,07
0602030026,08
0602030026,09
0602030026,10
0602030026,11
0602030026,12
0602030026,13
0602030026,14
0602030026,15
0602030026,16
0602030026,22
0602030026,40
0602030026,45
0602030026,47
0602030026,49
0602030026,60
0602030026,81
0602030026,84
0602030026,85
0602030026,86
0602030026,87
0602030026,88
0617060018,00
0617060018,01
0617060018,02
0617060018,03
0617060018,04
0617060018,05
0617060018,06
0617060018,07
0617060018,08
0617060018,09
0617060018,10
0617060018,11
0617060018,12
0617060018,13
0617060018,14
0617060018,15
0617060018,16
0617060018,22
0617060018,40
0617060018,45
0617060018,47
0617060018,49
0617060018,60
0617060018,81
0617060018,82
0617060018,83
0617060018,84
0622020017,01
0622020017,02
0622020017,03
0622020017,04
0622020017,05
0622020017,06
0622020017,07
0622020017,08
0622020017,09
0622020017,10
0622020017,12
0622020017,13
0622020017,14
0622020017,15
0622020017,22
0622020017,40
0622020017,60
0622020017,81
0622020017,82
0622020017,83
0622020017,84
0622020017,85
0632010014,01
0632010014,02
0632010014,03
0632010014,04
0632010014,05
0632010014,06
0632010014,07
0632010014,08
0632010014,09
0632010014,10
0632010014,11
0632010014,12
0632010014,13
0632010014,14
0632010014,15
0632010014,22
0632010014,40
0632010014,81
0632010014,86
0632010014,87
0632010014,88
0633030010,01
0633030010,02
0633030010,03
0633030010,04
0633030010,05
0633030010,06
0633030010,07
0633030010,08
0633030010,09
0633030010,10
0633030010,11
0633030010,12
0633030010,13
0633030010,14
0633030010,15
0633030010,22
0633030010,40
0633030010,81
0633030010,82
0633030010,83
0634030014,01
0634030014,02
0634030014,03
0634030014,08
0634030014,13
0634030014,14
0634030014,22
0634070018,01
0634070018,02
0634070018,03
0634070018,04
0634070018,05
0634070018,06
0634070018,07
0634070018,13
0634070018,14
0634070018,16
0634070018,81
0634070018,86
0638020014,01
0638020014,02
0638020014,03
0638020014,05
0638020014,06
0638020014,08
0638020014,09
0638020014,10
0638020014,12
0638020014,13
0638020014,14
0638020014,22
0638020014,40
0638020014,60
0638020014,81
0638020014,82
0640140012,01
0640140012,02
0640140012,03
0640140012,05
0640140012,13
0640140012,14
0640140012,40
0640140012,82
0641310018,01
0641310018,02
0641310018,03
0641310018,04
0641310018,05
0641310018,06
0641310018,07
0641310018,09
0641310018,10
0641310018,11
0641310018,13
0641310018,14
0641310018,40
0641310018,60
0641310018,81
0641310018,82
0643130018,01
0643130018,02
0643130018,03
0643130018,04
0643130018,05
0643130018,06
0643130018,08
0643130018,10
0643130018,12
0643130018,13
0643130018,14
0643130018,15
0643130018,40
0643130018,81
0643130018,82
0645020015,01
0645020015,02
0645020015,03
0645020015,13
0645020015,14
0645020015,22
0645020015,82
0645030011,01
0645030011,02
0645030011,03
0645030011,04
0645030011,05
0645030011,06
0645030011,09
0645030011,10
0645030011,12
0645030011,13
0645030011,14
0645030011,22
0645030011,40
0645030011,81
0645030011,86
0646010013,01
0646010013,02
0646010013,03
0646010013,06
0646010013,13
0646010013,14
0646010013,2B
0646010013,82
0701160518,01
0701160518,02
0701160518,03
0701160518,12
0701160518,13
0701160518,14
0701160518,40
0701160518,60
0701160518,86
0717070516,02
0717070516,03
0717070516,13
0717070516,40
0717070516,60
0802070015,60
0901020013,01
0901020013,02
0901020013,03
0901020013,04
0901020013,05
0901020013,06
0901020013,07
0901020013,08
0901020013,10
0901020013,11
0901020013,12
0901020013,14
0901020013,40
0901020013,81
0901020013,86
0902080013,01
0902080013,02
0902080013,03
0902080013,04
0902080013,05
0902080013,06
0902080013,07
0902080013,08
0902080013,09
0902080013,10
0902080013,11
0902080013,12
0902080013,13
0902080013,14
0902080013,15
0902080013,40
0902080013,47
0902080013,81
0902080013,82
0902080013,83
0902080013,84
0903260015,00
0903260015,01
0903260015,02
0903260015,06
0903260015,14
0903260015,60
0905320014,02
0905320014,12
0905320014,14
0907030013,02
0907030013,03
0907030013,06
0907120012,13
0907120012,14
0907320012,02
0907320012,05
0907320012,06
0907350010,01
0907350010,02
0907350010,03
0907350010,06
0907350010,86
0912040012,02
0912040012,03
0912040012,08
0917050027,12
0917050027,13
0917070029,01
0917070029,02
0917070029,03
0917070029,04
0917070029,05
0917070029,06
0917070029,07
0917070029,08
0917070029,09
0917070029,10
0917070029,11
0917070029,12
0917070029,13
0917070029,14
0917070029,22
0917070029,40
0917070029,81
0917070029,83
0917070029,84
0917070029,85
0917070029,86
0922020013,01
0922020013,02
0922020013,14
0931010016,01
0931010016,02
0931010016,03
0931010016,08
0931010016,40
0931010016,81
0931010016,85
0931010016,86
0931010025,01
0931010025,02
0931010025,09
0931010025,14
0931010025,60
0931060016,01
0931060016,02
0931060016,06
0931060016,08
0931090014,02
0932020016,04
0932020016,05
0932020016,81
0932020025,01
0932020025,02
0932020025,03
0932020025,04
0932020025,05
0932020025,06
0932020025,07
0932020025,08
0932020025,10
0932020025,11
0932020025,12
0932020025,14
0932020025,16
0932020025,22
0932020025,40
0932020025,81
0932020025,82
0932020025,83
0934060027,13
0935020027,01
0935020027,02
0935020027,03
0935020027,04
0935020027,05
0935020027,06
0935020027,07
0935020027,12
0935020027,14
0935020027,22
0935020027,81
0935020027,86
0936030018,01
0936030018,02
0936030018,03
0936030018,04
0936030018,05
0936030018,06
0936030018,07
0936030018,08
0936030018,12
0936030018,13
0936030018,14
0936030018,22
0936030018,81
0936030018,86
0936030018,87
0936050029,00
0936050029,01
0936050029,02
0936050029,03
0936050029,04
0936050029,05
0936050029,06
0936050029,07
0936050029,08
0936050029,09
0936050029,10
0936050029,11
0936050029,12
0936050029,13
0936050029,14
0936050029,15
0936050029,22
0936050029,40
0936050029,49
0936050029,81
0936050029,82
0936050029,83
0936050029,84
0936060016,01
0936060016,02
0936060016,03
0936060016,04
0936060016,05
0936060016,06
0936060016,07
0936060016,08
0936060016,09
0936060016,10
0936060016,11
0936060016,12
0936060016,13
0936060016,14
0936060016,15
0936060016,16
0936060016,22
0936060016,40
0936060016,49
0936060016,60
0936060016,81
0936060016,84
0936060016,86
0936060016,87
0937010019,00
0937010019,01
0937010019,02
0937010019,03
0937010019,04
0937010019,05
0937010019,06
0937010019,07
0937010019,08
0937010019,09
0937010019,10
0937010019,11
0937010019,12
0937010019,13
0937010019,14
0937010019,15
0937010019,16
0937010019,22
0937010019,40
0937010019,60
0937010019,81
0937010019,82
0937010019,83
0937010019,84
0937030012,01
0937030012,02
0937030012,03
0937030012,04
0937030012,06
0937030012,14
0937030012,40
0937050014,02
0937050014,03
0937050014,06
0937050014,08
0937050014,12
0937050014,14
0937050014,15
0937050014,22
0937050014,81
0937050014,82
0937050024,01
0937050024,02
0937050024,03
0937050024,14
0938030016,01
0938030016,02
0938030016,03
0938030016,04
0938030016,05
0938030016,06
0938030016,07
0938030016,08
0938030016,12
0938030016,14
0938030016,22
0938030016,40
0938030016,81
0938030016,86
0939010018,13
0941010019,02
0941010019,08
0941010019,14
0941010019,86
0941310014,02
0941310014,03
0941310023,02
0941310023,03
0941310023,14
0942020019,01
0942020019,02
0942020019,03
0942020019,06
0942020019,12
0942020019,14
0942020019,22
0942020019,40
0942020019,60
0942020019,81
0943010017,01
0943010017,02
0943010017,03
0943010017,04
0943010017,05
0943010017,06
0943010017,07
0943010017,08
0943010017,09
0943010017,10
0943010017,11
0943010017,12
0943010017,13
0943010017,14
0943010017,15
0943010017,22
0943010017,40
0943010017,81
0943010017,85
0943010017,86
0943010017,87
0943010026,04
0943010026,05
0943010035,04
0943010035,05
0943020013,01
0943020013,02
0943020013,03
0943020013,06
0943020013,08
0943020013,14
0943020013,22
0943030019,01
0943030019,02
0943030019,03
0943030019,04
0943030019,05
0943030019,06
0943030019,07
0943030019,08
0943030019,09
0943030019,10
0943030019,12
0943030019,13
0943030019,14
0943030019,15
0943030019,22
0943030019,40
0943030019,81
0943030019,84
0943030019,85
0943030019,86
0943030019,87
0943030019,88
0943150016,03
0943160012,01
0943160012,02
0943160012,03
0943160012,04
0943160012,06
0943160012,07
0943160012,12
0943160012,22
0943160012,81
0943160012,86
1101010012,00
1101010012,01
1101010012,02
1101010012,03
1101010012,04
1101010012,05
1101010012,06
1101010012,07
1101010012,08
1101010012,09
1101010012,10
1101010012,11
1101010012,12
1101010012,13
1101010012,14
1101010012,15
1101010012,40
1101010012,45
1101010012,49
1101010012,60
1101010012,81
1101010012,82
1101010012,83
1101010012,84
1101010021,01
1101010021,02
1101010021,03
1101010021,04
1101010021,05
1101010021,06
1101010021,07
1101010021,08
1101010021,09
1101010021,10
1101010021,11
1101010021,12
1101010021,13
1101010021,14
1101010021,15
1101010021,16
1101010021,22
1101010021,40
1101010021,47
1101010021,81
1101010021,82
1101010021,83
1101020018,00
1101020018,01
1101020018,02
1101020018,03
1101020018,04
1101020018,05
1101020018,06
1101020018,07
1101020018,08
1101020018,09
1101020018,10
1101020018,11
1101020018,12
1101020018,13
1101020018,14
1101020018,15
1101020018,16
1101020018,22
1101020018,40
1101020018,45
1101020018,47
1101020018,81
1101020018,84
1101020018,85
1101020018,86
1101020018,87
1101020018,88
1101020027,01
1101020027,02
1101020027,03
1101020027,04
1101020027,05
1101020027,06
1101020027,08
1101020027,09
1101020027,10
1101020027,11
1101020027,12
1101020027,13
1101020027,14
1101020027,15
1101020027,40
1101020027,47
1101020027,81
1101020027,82
1101020027,85
1101020036,01
1101020036,02
1101020036,03
1101020036,04
1101020036,05
1101020036,06
1101020036,07
1101020036,08
1101020036,09
1101020036,10
1101020036,12
1101020036,14
1101020036,40
1101020036,81
1101020036,82
1101100011,00
1101100011,01
1101100011,02
1101100011,03
1101100011,04
1101100011,05
1101100011,06
1101100011,07
1101100011,08
1101100011,09
1101100011,10
1101100011,11
1101100011,12
1101100011,13
1101100011,14
1101100011,15
1101100011,16
1101100011,22
1101100011,40
1101100011,45
1101100011,47
1101100011,81
1101100011,82
1101100011,83
1101100011,84
1101100020,03
1101100020,04
1101100020,06
1101100020,07
1101100020,09
1101100020,10
1101100020,11
1101100020,13
1101100020,14
1101100020,15
1101100020,81
1101100020,86
1101110026,01
1101110026,02
1101110026,03
1101110026,04
1101110026,05
1101110026,06
1101110026,07
1101110026,08
1101110026,09
1101110026,10
1101110026,12
1101110026,14
1101110026,22
1101110026,40
1101110026,81
1101110026,82
1101150011,00
1101150011,01
1101150011,02
1101150011,03
1101150011,04
1101150011,05
1101150011,06
1101150011,07
1101150011,08
1101150011,09
1101150011,10
1101150011,11
1101150011,12
1101150011,13
1101150011,14
1101150011,15
1101150011,16
1101150011,22
1101150011,40
1101150011,45
1101150011,47
1101150011,81
1101150011,82
1101150011,83
1101150011,84
1101150011,85
1101160017,00
1101160017,01
1101160017,02
1101160017,03
1101160017,04
1101160017,05
1101160017,06
1101160017,07
1101160017,08
1101160017,09
1101160017,10
1101160017,11
1101160017,12
1101160017,13
1101160017,14
1101160017,15
1101160017,22
1101160017,40
1101160017,60
1101160017,81
1101160017,84
1101160017,85
1101160017,86
1101160017,87
1101160026,02
1101160026,03
1101160026,04
1101160026,05
1101160026,06
1101160026,07
1101160026,08
1101160026,09
1101160026,10
1101160026,12
1101160026,13
1101160026,14
1101160026,15
1101160026,40
1101160026,81
1101160026,82
1101160026,83
1101160026,84
1102110011,01
1102110011,02
1102110011,03
1102110011,04
1102110011,05
1102110011,06
1102110011,08
1102110011,09
1102110011,10
1102110011,11
1102110011,12
1102110011,13
1102110011,14
1102110011,16
1102110011,22
1102110011,40
1102110011,81
1102110011,86
1102110011,87
1105040016,01
1105040016,02
1105040016,03
1105040016,04
1105040016,05
1105040016,06
1105040016,07
1105040016,08
1105040016,09
1105040016,10
1105040016,11
1105040016,12
1105040016,13
1105040016,14
1105040016,15
1105040016,16
1105040016,22
1105040016,40
1105040016,47
1105040016,60
1105040016,81
1105040016,86
1105040016,87
1105050012,01
1105050012,02
1105050012,03
1105050012,04
1105050012,05
1105050012,06
1105050012,07
1105050012,08
1105050012,10
1105050012,12
1105050012,14
1105050012,15
1105050012,22
1105050012,40
1105050012,81
1105050012,82
1107350015,01
1107350015,02
1107350015,03
1107350015,04
1107350015,05
1107350015,06
1107350015,08
1107350015,09
1107350015,10
1107350015,11
1107350015,12
1107350015,13
1107350015,14
1107350015,22
1107350015,40
1107350015,60
1107350015,81
1107350015,86
1111060015,00
1111060015,01
1111060015,02
1111060015,03
1111060015,04
1111060015,05
1111060015,06
1111060015,07
1111060015,08
1111060015,09
1111060015,10
1111060015,11
1111060015,12
1111060015,13
1111060015,14
1111060015,15
1111060015,16
1111060015,22
1111060015,40
1111060015,60
1111060015,81
1111060015,82
1111060015,83
1111060015,84
1112010519,01
1112010519,02
1112010519,03
1112010519,04
1112010519,05
1112010519,06
1112010519,07
1112010519,08
1112010519,09
1112010519,10
1112010519,11
1112010519,12
1112010519,13
1112010519,14
1112010519,15
1112010519,22
1112010519,40
1112010519,47
1112010519,81
1112010519,84
1112010519,85
1112010519,86
1112010519,87
1112010528,01
1112010528,02
1112010528,03
1112010528,04
1112010528,05
1112010528,06
1112010528,07
1112010528,08
1112010528,09
1112010528,10
1112010528,11
1112010528,12
1112010528,14
1112010528,15
1112010528,22
1112010528,40
1112010528,81
1112010528,82
1117010019,01
1117010019,02
1117010019,03
1117010019,06
1117010019,09
1117010019,13
1117010019,14
1117010019,82
1121010018,01
1121010018,02
1121010018,03
1121010018,04
1121010018,05
1121010018,06
1121010018,07
1121010018,08
1121010018,09
1121010018,10
1121010018,11
1121010018,12
1121010018,13
1121010018,14
1121010018,15
1121010018,16
1121010018,22
1121010018,40
1121010018,47
1121010018,60
1121010018,81
1121010018,82
1121010018,83
1121020014,13
1122010012,01
1122010012,02
